                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4877,                 3.0118,                 2.3332,                 1.4365,                0.68514,                0.21654,                0.33369,                0.16462,                0.68123,                0.20203,                0.32776,                0.16207,                 1.5541,                 3.6863,                 2.9307,                   1.47,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.4608,                 2.4796,                 1.8341,                 1.4073,                0.33036,                0.32836,                0.19949,                0.10182,                0.31034,                0.30846,                0.18851,                 0.0897,                 1.7759,                 3.4019,                 2.4996,                 1.8214,              0.0013067,              0.0013067,              0.0013067
                      3,                 1.4717,                  2.468,                 1.7291,                 1.4282,                0.37411,                0.29851,                0.24796,                 0.0964,                0.33364,                0.26156,                0.21362,                0.07788,                 1.9363,                 4.5382,                 2.8626,                 2.0448,              0.0019495,              0.0019495,              0.0019495
                      4,                 1.4808,                 2.3947,                   1.65,                 1.4493,                 0.6009,                0.51687,                0.52464,                0.25275,                 0.5891,                0.50746,                0.50839,                0.22622,                 1.6293,                  3.238,                 1.9619,                 1.5983,               0.001946,               0.001946,               0.001946
                      5,                 1.4749,                 2.4084,                 1.5422,                 1.4192,                0.57876,                0.46766,                0.49659,                0.25752,                0.56645,                0.45771,                0.50058,                0.23253,                 1.7037,                 3.5122,                 1.7926,                 1.6727,               0.001928,               0.001928,               0.001928
                      6,                 1.4421,                  2.366,                 1.4853,                 1.4042,                0.53943,                0.51244,                0.47261,                0.21653,                 0.5523,                0.51741,                0.51173,                0.21274,                 1.8063,                 2.9341,                 1.8338,                 1.6959,                0.00191,                0.00191,                0.00191
                      7,                 1.3969,                 2.2671,                 1.3854,                 1.3611,                0.66578,                0.59465,                0.60798,                0.32746,                0.67703,                0.60199,                0.61918,                 0.2922,                 1.5611,                 2.7982,                  1.597,                 1.5133,               0.001892,               0.001892,               0.001892
                      8,                  1.377,                 2.2384,                 1.3327,                  1.342,                0.56936,                0.65779,                0.57686,                0.29373,                0.58833,                0.63184,                0.58994,                0.27781,                  1.643,                  3.124,                 1.6377,                 1.5287,               0.001874,               0.001874,               0.001874
                      9,                 1.3485,                 2.1545,                  1.287,                 1.3158,                0.55328,                0.65672,                0.59593,                0.33025,                0.65807,                0.54229,                0.59502,                 0.2973,                 1.5478,                 2.8227,                 1.5227,                 1.4852,               0.001856,               0.001856,               0.001856
                     10,                 1.3244,                 2.1541,                 1.2725,                  1.321,                0.56615,                0.65174,                0.60407,                0.34529,                0.57872,                0.66667,                0.62943,                0.33098,                 1.5088,                 2.9359,                 1.5247,                 1.4581,               0.001838,               0.001838,               0.001838
                     11,                 1.3231,                 2.1098,                  1.221,                  1.305,                0.62466,                0.60199,                0.60412,                0.31917,                0.62008,                0.65174,                 0.6043,                0.30996,                 1.6166,                 2.8786,                 1.6517,                  1.509,                0.00182,                0.00182,                0.00182
                     12,                  1.305,                 2.0969,                 1.2315,                 1.3109,                0.60898,                0.58706,                0.60431,                0.33719,                0.63329,                0.60697,                0.61322,                0.31469,                 1.5016,                  2.787,                 1.4159,                 1.4388,               0.001802,               0.001802,               0.001802
                     13,                 1.3013,                 2.0885,                 1.1745,                 1.2957,                0.58053,                0.59903,                0.56926,                0.31098,                0.58765,                0.60975,                0.59068,                0.30715,                 1.5778,                 2.7177,                 1.5672,                 1.5077,               0.001784,               0.001784,               0.001784
                     14,                 1.3021,                 2.0857,                 1.1873,                 1.3083,                0.61742,                0.63682,                0.62177,                0.34624,                0.63157,                0.63682,                0.63305,                0.34386,                 1.5588,                  2.678,                 1.4704,                 1.4945,               0.001766,               0.001766,               0.001766
                     15,                   1.28,                 2.0773,                 1.1359,                 1.2848,                0.70641,                0.59853,                0.67394,                0.36947,                0.70553,                0.60697,                 0.6755,                 0.3618,                  1.532,                 2.6901,                  1.376,                  1.489,               0.001748,               0.001748,               0.001748
                     16,                 1.2562,                 1.9961,                 1.0776,                 1.2492,                0.63821,                 0.6319,                0.65357,                0.36214,                0.67271,                0.62189,                0.66951,                0.35288,                 1.5588,                 2.6966,                 1.3613,                 1.4441,                0.00173,                0.00173,                0.00173
                     17,                 1.2442,                   2.01,                 1.0416,                 1.2529,                0.70517,                0.54229,                 0.6175,                0.34024,                0.71928,                0.54229,                0.63612,                0.32701,                 1.5279,                 2.7116,                 1.4362,                 1.4349,               0.001712,               0.001712,               0.001712
                     18,                 1.2383,                 1.9383,                 1.0388,                 1.2484,                0.62111,                0.67164,                0.61997,                0.35515,                0.63327,                0.68727,                0.64294,                0.33001,                 1.5083,                 2.7513,                  1.337,                 1.4566,               0.001694,               0.001694,               0.001694
