                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4757,                 2.9909,                 2.3468,                 1.4441,                0.90671,                0.09677,                0.35378,                0.17295,                0.81342,                0.08682,                0.32229,                0.15149,                 1.4868,                 3.2883,                 2.9902,                 1.4869,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.4573,                 2.4526,                 1.8208,                 1.4122,                 0.2734,                0.24876,                0.19629,                0.08385,                0.25391,                0.26368,                0.19803,                0.07443,                 1.8002,                 4.0615,                  2.733,                 1.8513,              0.0013067,              0.0013067,              0.0013067
                      3,                 1.4941,                 2.4566,                 1.7584,                 1.4602,                0.27383,                0.26866,                0.20477,                0.10523,                0.23751,                0.37313,                0.23579,                0.11747,                 1.9334,                 3.5384,                 2.8926,                 1.8339,              0.0019495,              0.0019495,              0.0019495
                      4,                 1.5178,                 2.4202,                 1.6834,                 1.4741,                0.37676,                0.40796,                 0.3332,                0.15315,                0.39597,                0.38308,                0.32495,                0.14861,                 1.7909,                 3.4231,                 2.5381,                 1.8003,               0.001946,               0.001946,               0.001946
                      5,                 1.4802,                 2.3641,                 1.5245,                 1.4303,                0.61241,                0.52668,                 0.5642,                0.26906,                0.61147,                0.53234,                0.56558,                0.27965,                 1.7099,                 2.9984,                 1.7523,                 1.6913,               0.001928,               0.001928,               0.001928
                      6,                 1.4559,                 2.3555,                  1.486,                 1.4215,                0.64026,                0.49751,                0.53356,                0.28167,                0.65306,                0.50746,                0.53179,                0.25848,                 1.5983,                 3.0012,                 1.6992,                 1.5776,                0.00191,                0.00191,                0.00191
                      7,                 1.3947,                 2.2397,                 1.3845,                 1.3663,                0.54031,                0.59701,                0.54554,                 0.2719,                0.53401,                0.59204,                0.54341,                0.26518,                 1.5836,                 2.9065,                 1.7015,                 1.5329,               0.001892,               0.001892,               0.001892
                      8,                   1.38,                 2.2342,                 1.3585,                 1.3594,                0.58966,                0.60697,                0.58669,                0.33211,                0.59611,                0.61681,                0.60437,                0.30566,                 1.5418,                 2.8113,                 1.5024,                 1.4913,               0.001874,               0.001874,               0.001874
                      9,                 1.3589,                 2.1665,                 1.3103,                 1.3273,                0.56738,                0.54726,                 0.4986,                0.26895,                0.57879,                0.56743,                0.51632,                0.24668,                 1.6058,                  3.149,                 1.7639,                 1.5452,               0.001856,               0.001856,               0.001856
                     10,                 1.3531,                 2.1828,                 1.2884,                 1.3362,                0.59898,                0.55224,                0.55019,                0.28278,                0.66295,                0.50249,                0.54693,                0.26638,                  1.587,                 3.1834,                  1.593,                 1.5642,               0.001838,               0.001838,               0.001838
                     11,                 1.3485,                 2.1301,                 1.2538,                 1.3207,                0.64199,                0.56219,                0.55798,                0.29723,                0.64971,                0.56716,                0.55955,                0.29925,                  1.628,                 3.0217,                 1.5558,                 1.5446,                0.00182,                0.00182,                0.00182
                     12,                 1.3075,                 2.0835,                  1.217,                 1.3026,                0.59128,                0.61194,                0.58157,                 0.3293,                0.65597,                0.62189,                0.61682,                0.30907,                 1.4772,                 2.8427,                  1.587,                 1.4829,               0.001802,               0.001802,               0.001802
                     13,                 1.2964,                 2.0862,                 1.1769,                 1.3092,                0.57923,                0.62189,                0.61522,                0.34892,                0.60604,                0.64677,                0.64325,                0.33588,                 1.5496,                 2.6535,                 1.4304,                 1.4872,               0.001784,               0.001784,               0.001784
                     14,                 1.2718,                  2.058,                 1.1716,                 1.2942,                0.64526,                0.56219,                0.60026,                0.34555,                0.67482,                0.58209,                0.62264,                0.33611,                 1.5265,                 2.7471,                 1.5247,                 1.4932,               0.001766,               0.001766,               0.001766
                     15,                 1.2579,                 2.0447,                 1.1289,                 1.2789,                0.66455,                0.58209,                0.61922,                0.34574,                0.65419,                0.61177,                0.65024,                0.32819,                 1.5138,                 2.6637,                 1.4255,                 1.4609,               0.001748,               0.001748,               0.001748
